FL-0001,V001,DRV01,2026-06-10,Diesel,45.5,1.85,12600
FL-0002,V002,DRV02,2026-06-11,Petrol,30.0,2.10,4350
FL-0003,V003,DRV03,2026-06-12,Diesel,120.0,1.80,85200
FL-0004,V004,DRV04,2026-06-13,Petrol,12.5,2.15,1600
FL-0005,V001,DRV01,2026-06-14,Diesel,40.0,1.85,12950
FL-0006,V006,DRV06,2026-06-14,Petrol,25.0,2.05,2700
FL-0007,V007,DRV07,2026-06-15,Diesel,65.0,1.90,18300
FL-0008,V002,DRV02,2026-06-16,Petrol,28.5,2.10,4600
FL-0009,V009,DRV09,2026-06-17,Diesel,150.0,1.75,210500
FL-0010,V010,DRV10,2026-06-18,Petrol,35.0,2.00,45300
